what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243368343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243370843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243826453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243827625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243916453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243917359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243919187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243920984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243921437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297243923734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297244212937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297244213750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297244216703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297244217796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297244218593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297247245968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297247280484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297247281000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297247283640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297247283656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297247284062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297248897390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297248900484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297248901953
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297248902421
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1297248904484
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1297248905156
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1297248905156
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1297248905156
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1297248905156
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1297248905156
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1297248905156
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1297248905156
stopped,bundle,org.eclipse.rap.ui.launch,1.3.1.20100916-0013,"org.eclipse.rap.ui.launch",1297248905156
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1297248905156
stopped,bundle,oracle.eclipse.tools.glassfish,3.1.1.201009290929,"oracle.eclipse.tools.glassfish",1297248905156
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.4.1.v201009092123,"org.eclipse.tptp.platform.profile.server.wst",1297248905156
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.3.1.v201009092123,"org.eclipse.tptp.platform.profile.server.core",1297248905156
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.5.1.v201009092123,"org.eclipse.tptp.platform.jvmti.client",1297248905156
stopped,bundle,org.eclipse.tptp.platform.integration.pde,4.5.1.v201009092123,"org.eclipse.tptp.platform.integration.pde",1297248905156
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.5.0.v201005061600,"org.eclipse.tptp.platform.probekit.launch",1297248905156
stopped,bundle,org.eclipse.hyades.trace.ui,4.5.101.v201009092123,"org.eclipse.hyades.trace.ui",1297248905156
stopped,bundle,com.instantiations.designer.rcp.databinding.emf,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.databinding.emf",1297248905156
stopped,bundle,com.instantiations.designer.rcp.databinding,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.databinding",1297248905156
stopped,bundle,com.instantiations.designer.swing.databinding,8.1.1.r36x201012170656,"com.instantiations.designer.swing.databinding",1297248905156
stopped,bundle,com.instantiations.designer.core.databinding,8.1.1.r36x201012161228,"com.instantiations.designer.core.databinding",1297248905156
stopped,bundle,com.instantiations.designer.rcp.GroupLayout,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.GroupLayout",1297248905156
